id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness,loudness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.03,-6.5,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.15,0.04,-8.2,65
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.03,-5.1,72
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.25,0.03,-9.1,58
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.04,-5.8,81
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.68,0.02,-10.5,52
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.35,0.02,-7.8,68
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.12,0.03,-6.2,75
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.22,0.03,-8.6,62
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.08,0.03,-6.1,76
11,Bass Rebellion,Electric Pulse,hip hop,energetic,0.86,115,0.58,0.84,0.15,0.03,0.12,-5.4,77
12,Tropical Paradise,Island Vibes,reggae,uplifting,0.71,105,0.82,0.76,0.68,0.18,0.04,-6.8,71
13,Dusty Roads,Country Hearts,country,nostalgic,0.52,98,0.73,0.48,0.82,0.32,0.03,-7.2,64
14,Midnight Tears,Luna Shade,R&B,melancholic,0.38,88,0.44,0.58,0.70,0.08,0.04,-8.1,59
15,Electric Surge,Synth Masters,electronic,euphoric,0.92,138,0.85,0.89,0.08,0.04,0.02,-5.6,79
16,Campfire Songs,Folk Collective,folk,introspective,0.45,92,0.68,0.52,0.88,0.42,0.03,-8.9,54
17,Metallic Fury,Iron Titans,metal,aggressive,0.94,156,0.35,0.72,0.12,0.06,0.04,-4.2,70
18,Romantic Strings,Soft Melodies,classical,romantic,0.60,76,0.79,0.38,0.91,0.88,0.01,-7.5,61
